rpm,hp,torque
4970,5.44,7.77
4980,5.46,7.78
4990,5.48,7.79
5000,5.5,7.8
5010,5.52,7.81
5020,5.54,7.82
5030,5.56,7.83
5040,5.58,7.84
5050,5.6,7.85
5060,5.62,7.86
5070,5.64,7.87
5080,5.66,7.88
5090,5.68,7.89
5100,5.7,7.9
5110,5.71,7.91
5120,5.72,7.92
5130,5.73,7.93
5140,5.74,7.94
5150,5.75,7.95
5160,5.76,7.96
5170,5.77,7.97
5180,5.78,7.98
5190,5.79,7.99
5200,5.8,8
5210,5.82,8.01
5220,5.84,8.02
5230,5.86,8.03
5240,5.88,8.04
5250,5.9,8.05
5260,5.92,8.06
5270,5.94,8.07
5280,5.96,8.08
5290,5.98,8.09
5300,6,8.1
5310,6.02,8.11
5320,6.04,8.12
5330,6.06,8.13
5340,6.08,8.14
5350,6.1,8.15
5360,6.12,8.16
5370,6.14,8.17
5380,6.16,8.18
5390,6.18,8.19
5400,6.2,8.2
5410,6.22,8.21
5420,6.24,8.22
5430,6.26,8.23
5440,6.28,8.24
5450,6.3,8.25
5460,6.32,8.26
5470,6.34,8.27
5480,6.36,8.28
5490,6.38,8.29
5500,6.4,8.3
5510,6.42,8.31
5520,6.44,8.32
5530,6.46,8.33
5540,6.48,8.34
5550,6.5,8.35
5560,6.52,8.36
5570,6.54,8.37
5580,6.56,8.38
5590,6.58,8.39
5600,6.6,8.4
5610,6.62,8.41
5620,6.64,8.42
5630,6.66,8.43
5640,6.68,8.44
5650,6.7,8.45
5660,6.72,8.46
5670,6.74,8.47
5680,6.76,8.48
5690,6.78,8.49
5700,6.8,8.5
5710,6.82,8.51
5720,6.84,8.52
5730,6.86,8.53
5740,6.88,8.54
5750,6.9,8.55
5760,6.92,8.56
5770,6.94,8.57
5780,6.96,8.58
5790,6.98,8.59
5800,7,8.6
5810,7.01,8.6
5820,7.02,8.6
5830,7.03,8.6
5840,7.04,8.6
5850,7.05,8.6
5860,7.06,8.6
5870,7.07,8.6
5880,7.08,8.6
5890,7.09,8.6
5900,7.1,8.6
5910,7.12,8.61
5920,7.14,8.62
5930,7.16,8.63
5940,7.18,8.64
5950,7.2,8.65
5960,7.22,8.66
5970,7.24,8.67
5980,7.26,8.68
5990,7.28,8.69
6000,7.3,8.7
6010,7.32,8.71
6020,7.34,8.72
6030,7.36,8.73
6040,7.38,8.74
6050,7.4,8.75
6060,7.42,8.76
6070,7.44,8.77
6080,7.46,8.78
6090,7.48,8.79
6100,7.5,8.8
6110,7.52,8.8
6120,7.54,8.8
6130,7.56,8.8
6140,7.58,8.8
6150,7.6,8.8
6160,7.62,8.8
6170,7.64,8.8
6180,7.66,8.8
6190,7.68,8.8
6200,7.7,8.8
6210,7.72,8.81
6220,7.74,8.82
6230,7.76,8.83
6240,7.78,8.84
6250,7.8,8.85
6260,7.82,8.86
6270,7.84,8.87
6280,7.86,8.88
6290,7.88,8.89
6300,7.9,8.9
6310,7.91,8.9
6320,7.92,8.9
6330,7.93,8.9
6340,7.94,8.9
6350,7.95,8.9
6360,7.96,8.9
6370,7.97,8.9
6380,7.98,8.9
6390,7.99,8.9
6400,8,8.9
6410,8.02,8.91
6420,8.04,8.92
6430,8.06,8.93
6440,8.08,8.94
6450,8.1,8.95
6460,8.12,8.96
6470,8.14,8.97
6480,8.16,8.98
6490,8.18,8.99
6500,8.2,9
6510,8.21,9
6520,8.22,9
6530,8.23,9
6540,8.24,9
6550,8.25,9
6560,8.26,9
6570,8.27,9
6580,8.28,9
6590,8.29,9
6600,8.3,9
6610,8.33,9.01
6620,8.36,9.02
6630,8.39,9.03
6640,8.42,9.04
6650,8.45,9.05
6660,8.48,9.06
6670,8.51,9.07
6680,8.54,9.08
6690,8.57,9.09
6700,8.6,9.1
6710,8.61,9.1
6720,8.62,9.1
6730,8.63,9.1
6740,8.64,9.1
6750,8.65,9.1
6760,8.66,9.1
6770,8.67,9.1
6780,8.68,9.1
6790,8.69,9.1
6800,8.7,9.1
6810,8.71,9.1
6820,8.72,9.1
6830,8.73,9.1
6840,8.74,9.1
6850,8.75,9.1
6860,8.76,9.1
6870,8.77,9.1
6880,8.78,9.1
6890,8.79,9.1
6900,8.8,9.1
6910,8.81,9.1
6920,8.82,9.1
6930,8.83,9.1
6940,8.84,9.1
6950,8.85,9.1
6960,8.86,9.11
6970,8.87,9.12
6980,8.88,9.13
6990,8.89,9.14
7000,8.9,9.1
7010,8.92,9.11
7020,8.94,9.12
7030,8.96,9.13
7040,9.01,9.14
7050,9.05,9.15
7060,9.09,9.16
7070,9.13,9.17
7080,9.17,9.18
7090,9.19,9.19
7100,9.2,9.2
7110,9.21,9.2
7120,9.22,9.2
7130,9.23,9.2
7140,9.24,9.2
7150,9.25,9.2
7160,9.26,9.2
7170,9.27,9.2
7180,9.28,9.2
7190,9.29,9.2
7200,9.3,9.2
7210,9.31,9.2
7220,9.32,9.2
7230,9.33,9.2
7240,9.34,9.2
7250,9.35,9.2
7260,9.36,9.2
7270,9.37,9.2
7280,9.38,9.2
7290,9.39,9.2
7300,9.4,9.2
7310,9.41,9.2
7320,9.42,9.2
7330,9.43,9.2
7340,9.44,9.2
7350,9.5,9.2
7360,9.52,9.2
7370,9.54,9.2
7380,9.56,9.2
7390,9.61,9.2
7400,9.6,9.2
7410,9.61,9.2
7420,9.62,9.2
7430,9.63,9.2
7440,9.64,9.2
7450,9.65,9.2
7460,9.66,9.2
7470,9.67,9.2
7480,9.68,9.2
7490,9.69,9.2
7500,9.7,9.2
7510,9.71,9.2
7520,9.72,9.2
7530,9.73,9.2
7540,9.74,9.2
7550,9.75,9.2
7560,9.76,9.2
