t-long,t-lat,tn-long,tn-lat
51.453437480000005,25.49024137,51.453437480000005,25.49024137
51.45344643000001,25.490237433333334,51.45344643000001,25.490237433333334
51.453455386666676,25.490233510000003,51.453455386666676,25.490233510000003
51.453464353333345,25.490229603333336,51.453464353333345,25.490229603333336
51.45347332666667,25.490225710000004,51.45347332666667,25.490225710000004
51.453482303333345,25.490221823333336,51.453482303333345,25.490221823333336
51.453491293333336,25.49021796666667,51.453491293333336,25.49021796666667
51.45350030333334,25.49021414333334,51.45350030333334,25.49021414333334
51.45350933000001,25.49021035333334,51.45350933000001,25.49021035333334
51.453518360000004,25.49020656666667,51.453518360000004,25.49020656666667
51.45352740333334,25.49020281333334,51.45352740333334,25.49020281333334
51.45353646000001,25.49019908666667,51.45353646000001,25.49019908666667
51.45354553333334,25.490195390000004,51.45354553333334,25.490195390000004
51.453554610000005,25.49019169666667,51.453554610000005,25.49019169666667
51.45356370333334,25.490188040000003,51.45356370333334,25.490188040000003
51.45357281333334,25.49018442333334,51.45357281333334,25.49018442333334
51.45358194000001,25.490180836666667,51.45358194000001,25.490180836666667
51.45359107,25.490177253333336,51.45359107,25.490177253333336
51.453600210000005,25.49017369333334,51.453600210000005,25.49017369333334
51.45360936333334,25.49017016333334,51.45360936333334,25.49017016333334
51.45361852666667,25.490166656666673,51.45361852666667,25.490166656666673
51.45362769666667,25.49016315666667,51.45362769666667,25.49016315666667
51.45363688333333,25.49015969666667,51.45363688333333,25.49015969666667
51.45364609000001,25.490156280000008,51.45364609000001,25.490156280000008
51.453655310000016,25.49015289666667,51.453655310000016,25.49015289666667
51.45366453333334,25.49014951666667,51.45366453333334,25.49014951666667
51.45367376666667,25.49014616666667,51.45367376666667,25.49014616666667
51.45368301333333,25.49014284666667,51.45368301333333,25.49014284666667
51.453692270000005,25.490139550000006,51.453692270000005,25.490139550000006
51.453701530000004,25.490136253333333,51.453701530000004,25.490136253333333
51.45371080666667,25.49013299333334,51.45371080666667,25.49013299333334
51.45372009666667,25.490129770000003,51.45372009666667,25.490129770000003
51.4537294,25.490126580000002,51.4537294,25.490126580000002
51.45373870333334,25.490123396666668,51.45373870333334,25.490123396666668
51.45374802333335,25.49012024666667,51.45374802333335,25.49012024666667
51.453757360000004,25.49011713000001,51.453757360000004,25.49011713000001
51.45376670666667,25.49011404000001,51.45376670666667,25.49011404000001
51.45377605333334,25.490110953333335,51.45377605333334,25.490110953333335
51.45378541333335,25.490107903333335,51.45378541333335,25.490107903333335
51.45379478666668,25.49010488666667,51.45379478666668,25.49010488666667
51.45380417333334,25.49010190333334,51.45380417333334,25.49010190333334
51.45381356000001,25.49009892,51.45381356000001,25.49009892
51.45382296666668,25.490095986666674,51.45382296666668,25.490095986666674
51.45383239000001,25.490093100000003,51.45383239000001,25.490093100000003
51.453841830000016,25.490090260000002,51.453841830000016,25.490090260000002
51.45385127,25.490087420000002,51.45385127,25.490087420000002
51.453860726666676,25.49008462333334,51.453860726666676,25.49008462333334
51.453870200000004,25.490081873333338,51.453870200000004,25.490081873333338
51.45387969000001,25.490079170000005,51.45387969000001,25.490079170000005
51.453889180000004,25.49007647,51.453889180000004,25.49007647
51.45389868000001,25.490073806666672,51.45389868000001,25.490073806666672
51.453908196666674,25.490071190000002,51.453908196666674,25.490071190000002
51.45391773,25.490068620000002,51.45391773,25.490068620000002
51.45392727000001,25.490066060000004,51.45392727000001,25.490066060000004
51.45393681333334,25.490063520000007,51.45393681333334,25.490063520000007
51.45394636666667,25.49006100666667,51.45394636666667,25.49006100666667
51.45395592666668,25.49005852333334,51.45395592666668,25.49005852333334
51.45396549333334,25.490056050000007,51.45396549333334,25.490056050000007
51.45397506666667,25.490053603333337,51.45397506666667,25.490053603333337
51.45398465666668,25.490051210000004,51.45398465666668,25.490051210000004
51.45399426,25.49004886666667,51.45399426,25.49004886666667
51.454003873333335,25.490046553333336,51.454003873333335,25.490046553333336
51.45401349000001,25.490044246666667,51.45401349000001,25.490044246666667
51.454023113333335,25.490041963333333,51.454023113333335,25.490041963333333
51.45403274000002,25.490039703333338,51.45403274000002,25.490039703333338
51.454042373333344,25.490037460000003,51.454042373333344,25.490037460000003
51.45405201000001,25.490035223333336,51.45405201000001,25.490035223333336
51.45406166000001,25.49003304,51.45406166000001,25.49003304
51.45407132333334,25.490030913333335,51.45407132333334,25.490030913333335
51.45408100000001,25.490028836666667,51.45408100000001,25.490028836666667
