type,latitude,longitude,altitude (m),name,desc,corr_latitude,corr_longitude
T,25.49144489,51.45174572,11.1,,,25.49145,51.45175
T,25.49144136,51.45176078,11.1,,,25.49145,51.45177
T,25.49144136,51.45177432,11.1,,,25.49145,51.45178
T,25.49143959,51.45178378,11.1,,,25.49144,51.45179
T,25.49143959,51.45179732,11.1,,,25.49144,51.4518
T,25.49143959,51.45180699,11.1,,,25.49144,51.45181
T,25.49143959,51.45181473,11.1,,,25.49144,51.45182
T,25.49143959,51.45182053,11.1,,,25.49144,51.45183
T,25.49143606,51.45183555,11.1,,,25.49144,51.45184
T,25.4914343,51.45184305,11.1,,,25.49144,51.45185
T,25.49142901,51.45185396,11.1,,,25.49143,51.45186
T,25.49142549,51.45185542,11.1,,,25.49143,51.45186
T,25.4914167,51.45186394,11.1,,,25.49142,51.45187
T,25.49141144,51.45186904,11.1,,,25.49142,51.45187
T,25.49140618,51.45187414,11,,,25.49141,51.45188
T,25.49139918,51.45188093,11,,,25.4914,51.45189
T,25.49139219,51.45188963,11,,,25.4914,51.45189
T,25.49138695,51.45189663,11,,,25.49139,51.4519
T,25.49138172,51.45189976,11,,,25.49139,51.4519
T,25.49137648,51.45190477,11,,,25.49138,51.45191
T,25.49137125,51.45190787,11.1,,,25.49138,51.45191
T,25.49136254,51.4519162,11.1,,,25.49137,51.45192
T,25.4913608,51.45191787,11.1,,,25.49137,51.45192
T,25.49135558,51.45192286,11.1,,,25.49136,51.45193
T,25.49134691,51.45192927,11.2,,,25.49135,51.45193
T,25.49133647,51.451939,11.2,,,25.49134,51.45194
T,25.49132779,51.45194708,11.2,,,25.49133,51.45195
T,25.49132086,51.45195353,11.3,,,25.49133,51.45196
T,25.49131567,51.45195837,11.3,,,25.49132,51.45196
T,25.49130533,51.45196244,11.3,,,25.49131,51.45197
T,25.49129844,51.45196886,11.4,,,25.4913,51.45197
T,25.49128985,51.45197502,11.4,,,25.49129,51.45198
T,25.49128642,51.45197822,11.4,,,25.49129,51.45198
T,25.49127958,51.45198287,11.5,,,25.49128,51.45199
T,25.49127277,51.45198565,11.5,,,25.49128,51.45199
T,25.49126765,51.45199055,11.5,,,25.49127,51.452
T,25.49126255,51.45199545,11.6,,,25.49127,51.452
T,25.49125405,51.45200359,11.6,,,25.49126,51.45201
T,25.49124727,51.4520101,11.6,,,25.49125,51.45202
T,25.49124219,51.45201122,11.6,,,25.49125,51.45202
T,25.49123204,51.45201533,11.7,,,25.49124,51.45202
T,25.49122529,51.45201994,11.7,,,25.49123,51.45202
T,25.49121855,51.45202454,11.7,,,25.49122,51.45203
T,25.49121183,51.45202541,11.7,,,25.49122,51.45203
T,25.49120343,51.45202789,11.8,,,25.49121,51.45203
T,25.4911984,51.45203087,11.8,,,25.4912,51.45204
T,25.49119169,51.45203545,11.8,,,25.4912,51.45204
T,25.491185,51.45204002,11.8,,,25.49119,51.45205
T,25.49118333,51.45204163,11.8,,,25.49119,51.45205
T,25.49114919,51.45206214,11.9,,,25.49115,51.45207
T,25.49113774,51.452071,11.9,,,25.49114,51.45208
T,25.49112351,51.45207429,12,,,25.49113,51.45208
T,25.49111499,51.4520802,12,,,25.49112,51.45209
T,25.49110083,51.45208908,12,,,25.49111,51.45209
T,25.49108954,51.45209224,12,,,25.49109,51.4521
T,25.49108108,51.45210653,12,,,25.49109,51.45211
T,25.4910698,51.45211247,12,,,25.49107,51.45212
T,25.49106697,51.45211536,12,,,25.49107,51.45212
T,25.49105846,51.45213242,12,,,25.49106,51.45214
